"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete","cases","percent sequenced","incomplete sequencing"
"Jan 02 (0343)",3,0.87,4,1.17,3,0.87,0,0,1,0.29,4,1.17,0,0,0,0,,,328,95.63,,27309,1.26,
"Jan 09 (0555)",7,1.26,20,3.6,7,1.26,0,0,3,0.54,5,0.9,1,0.18,0,0,,,512,92.25,,36190,1.53,
"Jan 16 (0127)",10,7.87,4,3.15,8,6.3,0,0,5,3.94,4,3.15,0,0,0,0,,,96,75.59,,32962,0.39,
"Jan 23 (0147)",9,6.12,5,3.4,1,0.68,0,0,1,0.68,3,2.04,0,0,0,0,,,128,87.07,,30423,0.48,
"Jan 30 (0524)",59,11.26,68,12.98,15,2.86,0,0,6,1.15,13,2.48,2,0.38,0,0,,,361,68.89,,29150,1.8,
"Feb 06 (0721)",97,13.45,93,12.9,62,8.6,0,0,7,0.97,16,2.22,1,0.14,0,0,,,445,61.72,,23726,3.04,
"Feb 13 (0775)",128,16.52,110,14.19,63,8.13,0,0,8,1.03,10,1.29,1,0.13,0,0,,,455,58.71,,22505,3.44,
"Feb 20 (1031)",176,17.07,152,14.74,85,8.24,0,0,11,1.07,16,1.55,3,0.29,0,0,,,588,57.03,,19447,5.3,
"Feb 27 (0975)",208,21.33,172,17.64,126,12.92,0,0,3,0.31,20,2.05,3,0.31,0,0,,,443,45.44,,21546,4.53,
"Mar 06 (0830)",190,22.89,185,22.29,127,15.3,0,0,8,0.96,14,1.69,1,0.12,0,0,,,305,36.75,,20152,4.12,
"Mar 13 (1543)",249,16.14,274,17.76,180,11.67,0,0,2,0.13,19,1.23,1,0.06,0,0,,,818,53.01,,20286,7.61,
"Mar 20 (0826)",218,26.39,140,16.95,203,24.58,2,0.24,6,0.73,12,1.45,1,0.12,1,0.12,,,243,29.42,,19800,4.17,
"Mar 27 (1502)",385,25.63,283,18.84,440,29.29,14,0.93,4,0.27,18,1.2,6,0.4,2,0.13,,,350,23.3,,22067,6.81,
"Apr 03 (1258)",327,25.99,224,17.81,431,34.26,13,1.03,10,0.79,6,0.48,4,0.32,0,0,,,243,19.32,,19141,6.57,
"Apr 10 (1819)",458,25.18,273,15.01,663,36.45,40,2.2,8,0.44,7,0.38,2,0.11,0,0,,,368,20.23,,17256,10.54,
"Apr 17 (1509)",398,26.38,217,14.38,567,37.57,46,3.05,6,0.4,12,0.8,8,0.53,1,0.07,,,254,16.83,,13567,11.12,
"Apr 24 (0975)",237,24.31,130,13.33,402,41.23,27,2.77,8,0.82,3,0.31,3,0.31,3,0.31,,,162,16.62,,9442,10.33,
"May 01 (0758)",140,18.47,92,12.14,329,43.4,41,5.41,2,0.26,2,0.26,2,0.26,14,1.85,,,136,17.94,,7022,10.79,
"May 08 (0459)",61,13.29,46,10.02,222,48.37,31,6.75,0,0,0,0,4,0.87,20,4.36,,,75,16.34,,4892,9.38,
"May 15 (0373)",45,12.06,52,13.94,150,40.21,18,4.83,3,0.8,2,0.54,4,1.07,11,2.95,,,88,23.59,,3416,10.92,
"May 22 (0246)",30,12.2,30,12.2,92,37.4,26,10.57,0,0,1,0.41,1,0.41,20,8.13,,,46,18.7,,2441,10.08,
"May 29 (0094)",10,10.64,6,6.38,37,39.36,8,8.51,0,0,0,0,0,0,7,7.45,,,26,27.66,,1641,5.73,
"Jun 05 (0107)",3,2.8,2,1.87,39,36.45,15,14.02,0,0,0,0,1,0.93,7,6.54,,,40,37.38,,1252,8.55,
"Jun 12 (0097)",3,3.09,1,1.03,24,24.74,6,6.19,0,0,0,0,1,1.03,22,22.68,,,40,41.24,870,1156,8.39,1870
"Jun 19 (0054)",0,0,0,0,6,11.11,1,1.85,0,0,0,0,0,0,24,44.44,,,23,42.59,870,1033,5.23,1870
"Jun 26 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 03 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 10 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 17 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 24 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 31 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 07 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 14 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 21 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 28 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 04 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 11 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
