"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0533)",3,0.562852,30,5.628518,4,0.750469,0,0.0,1,0.187617,6,1.125704,0,0.0,0,0.0,0,0.0,489,91.744841,
"Jan 09 (0870)",8,0.91954,45,5.172414,8,0.91954,0,0.0,5,0.574713,12,1.37931,0,0.0,0,0.0,0,0.0,792,91.034483,
"Jan 16 (0413)",9,2.179177,43,10.411622,13,3.1477,0,0.0,5,1.210654,12,2.905569,0,0.0,0,0.0,0,0.0,331,80.145278,
"Jan 23 (0481)",13,2.702703,53,11.018711,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,400,83.160083,
"Jan 30 (0775)",64,8.258065,93,12.0,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,569,73.419355,
"Feb 06 (1005)",98,9.751244,147,14.626866,78,7.761194,0,0.0,7,0.696517,17,1.691542,0,0.0,0,0.0,0,0.0,658,65.472637,
"Feb 13 (1069)",138,12.909261,153,14.312442,97,9.073901,0,0.0,12,1.122544,20,1.870907,0,0.0,0,0.0,0,0.0,649,60.710945,
"Feb 20 (1161)",183,15.762274,141,12.144703,93,8.010336,0,0.0,14,1.205857,17,1.464255,2,0.172265,0,0.0,0,0.0,711,61.24031,
"Feb 27 (1114)",203,18.222621,152,13.644524,141,12.657092,0,0.0,4,0.359066,21,1.885099,0,0.0,0,0.0,0,0.0,593,53.231598,
"Mar 06 (1020)",194,19.019608,178,17.45098,154,15.098039,0,0.0,9,0.882353,16,1.568627,0,0.0,0,0.0,0,0.0,469,45.980392,
"Mar 13 (1776)",278,15.653153,178,10.022523,213,11.993243,4,0.225225,5,0.281532,25,1.407658,0,0.0,0,0.0,0,0.0,1073,60.416667,
"Mar 20 (1170)",277,23.675214,121,10.34188,305,26.068376,3,0.25641,11,0.940171,18,1.538462,2,0.17094,1,0.08547,0,0.0,432,36.923077,
"Mar 27 (1965)",457,23.256997,182,9.262087,595,30.279898,19,0.966921,4,0.203562,18,0.916031,7,0.356234,3,0.152672,1,0.050891,679,34.554707,
"Apr 03 (1735)",385,22.190202,175,10.086455,627,36.138329,23,1.325648,11,0.634006,7,0.403458,3,0.172911,0,0.0,1,0.057637,503,28.991354,
